train_frac,train_n,seed,neurons_per_layer,total_params,best_val_loss,best_val_value_out_loss,best_val_exists_out_loss,best_epoch
0.3,255,0,"[512, 512, 512, 512, 512]",1068576,0.05452641844749451,0.02862294390797615,0.014520132914185524,376
0.3,255,1,"[512, 512, 512, 512, 512]",1068576,0.05342269688844681,0.027385637164115906,0.015044067986309528,398
0.37777777777777777,321,0,"[512, 512, 512, 512, 512]",1068576,0.046375636011362076,0.022571278735995293,0.013629330322146416,361
0.37777777777777777,321,1,"[512, 512, 512, 512, 512]",1068576,0.046625081449747086,0.02418556436896324,0.012388356029987335,374
0.45555555555555555,387,0,"[512, 512, 512, 512, 512]",1068576,0.0507550872862339,0.026594145223498344,0.014249416068196297,394
0.45555555555555555,387,1,"[512, 512, 512, 512, 512]",1068576,0.04973411560058594,0.02650468423962593,0.01307481899857521,386
0.5333333333333333,453,0,"[512, 512, 512, 512, 512]",1068576,0.043696071952581406,0.021686933934688568,0.012803904712200165,388
0.5333333333333333,453,1,"[512, 512, 512, 512, 512]",1068576,0.04415762051939964,0.02185070514678955,0.013022350147366524,385
0.6111111111111112,520,0,"[512, 512, 512, 512, 512]",1068576,0.043198972940444946,0.023297544568777084,0.012138064950704575,380
0.6111111111111112,520,1,"[512, 512, 512, 512, 512]",1068576,0.047434113919734955,0.02383316308259964,0.014944173395633698,262
0.6888888888888889,586,0,"[512, 512, 512, 512, 512]",1068576,0.038751158863306046,0.01956050470471382,0.010457377880811691,391
0.6888888888888889,586,1,"[512, 512, 512, 512, 512]",1068576,0.04324721917510033,0.02197165973484516,0.012566007673740387,400
0.7666666666666666,652,0,"[512, 512, 512, 512, 512]",1068576,0.04117675870656967,0.02021632343530655,0.012538357637822628,326
0.7666666666666666,652,1,"[512, 512, 512, 512, 512]",1068576,0.04047122225165367,0.02026052214205265,0.011595726944506168,368
0.8444444444444446,718,0,"[512, 512, 512, 512, 512]",1068576,0.038058627396821976,0.01947186514735222,0.010518254712224007,397
0.8444444444444446,718,1,"[512, 512, 512, 512, 512]",1068576,0.03848113492131233,0.019704438745975494,0.010365086607635021,400
0.9222222222222223,784,0,"[512, 512, 512, 512, 512]",1068576,0.04181380942463875,0.02026156708598137,0.01279580220580101,265
0.9222222222222223,784,1,"[512, 512, 512, 512, 512]",1068576,0.04174986109137535,0.02087661623954773,0.012473003938794136,299
1.0,851,0,"[512, 512, 512, 512, 512]",1068576,0.03580201417207718,0.017811603844165802,0.009268326684832573,396
1.0,851,1,"[512, 512, 512, 512, 512]",1068576,0.03634768724441528,0.018225491046905518,0.00953612383455038,373
