train_frac,train_n,total_params,best_val_loss_mean,best_val_loss_std,best_epoch_mean
0.3,405,17283,0.014164898917078972,0.0010954342445882025,348.0
0.3368421052631579,455,17283,0.011831782385706901,0.0007516054592951887,375.2
0.3736842105263158,505,17283,0.011503499001264572,0.0005708125603753304,380.8
0.41052631578947363,555,17283,0.011536399275064469,0.0003585689607387933,381.0
0.4473684210526315,605,17283,0.010507849790155888,0.000683302381702022,384.4
0.4842105263157894,655,17283,0.01221720464527607,0.0008343106208502448,366.0
0.5210526315789473,704,17283,0.010393227078020572,0.0006426571146543265,382.8
0.5578947368421052,754,17283,0.010424516163766384,0.0005180829642003208,384.6
0.5947368421052631,804,17283,0.010248764231801034,0.00042398555860508985,376.2
0.631578947368421,854,17283,0.00989434216171503,0.001575380006430627,380.0
0.6684210526315789,904,17283,0.010137656517326833,0.0002609191480517425,366.6
0.7052631578947368,954,17283,0.00952820535749197,0.0007897381095970662,370.0
0.7421052631578946,1004,17283,0.009435386396944523,0.0004285465067781747,345.0
0.7789473684210526,1053,17283,0.008996963687241077,0.00047164697517782585,352.4
0.8157894736842104,1103,17283,0.008893037587404251,0.00027470856125145376,380.6
0.8526315789473684,1153,17283,0.011999634839594365,0.001455586988704221,383.8
0.8894736842105262,1203,17283,0.008896602876484394,0.0004566260866529342,363.8
0.9263157894736842,1253,17283,0.008769789151847363,0.0004172647591377907,382.6
0.963157894736842,1303,17283,0.009295859560370445,0.0010152588151796742,370.4
1.0,1353,17283,0.008270706981420517,0.000637529796571167,388.8
